area_type,location,total_sqft,bath,balcony,price,ready_to_move,bhk
Super built-up  Area,Electronic City,1500.0,2,1,64.5,1,3.0
Built-up  Area,Electronic City,1060.0,2,1,60.0,1,2.0
Super built-up  Area,Electronic City,1152.0,2,1,64.5,0,2.0
Super built-up  Area,Electronic City,1350.0,2,1,56.0,1,3.0
Built-up  Area,Electronic City,770.0,1,1,36.0,1,2.0
Super built-up  Area,Electronic City,1070.0,2,1,52.0,1,2.0
Built-up  Area,Electronic City,1025.0,2,1,46.0,1,2.0
Super built-up  Area,Electronic City,589.0,1,1,27.0,1,1.0
Built-up  Area,Electronic City,1100.0,2,2,42.0,1,2.0
Super built-up  Area,Electronic City,910.0,2,1,40.0,1,2.0
Super built-up  Area,Electronic City,1108.0,2,1,63.0,0,2.0
Super built-up  Area,Electronic City,1128.0,2,1,65.0,0,2.0
Super built-up  Area,Electronic City,1800.0,3,2,95.0,1,3.0
Built-up  Area,Electronic City,630.0,1,1,34.65,0,1.0
Super built-up  Area,Electronic City,1128.0,2,1,63.0,0,2.0
Super built-up  Area,Electronic City,1599.0,3,2,99.0,0,3.0
Built-up  Area,Electronic City,1125.0,2,1,32.49,0,2.0
Super built-up  Area,Electronic City,1094.0,2,2,42.0,1,2.0
Super built-up  Area,Electronic City,1070.0,2,1,55.0,1,2.0
Super built-up  Area,Electronic City,940.0,2,1,41.0,1,2.0
Built-up  Area,Electronic City,1320.0,2,1,38.13,0,3.0
Super built-up  Area,Electronic City,1128.0,2,1,68.75,0,2.0
Super built-up  Area,Electronic City,1342.0,2,1,73.3,0,2.0
Super built-up  Area,Electronic City,1360.0,2,1,71.0,1,3.0
Super built-up  Area,Electronic City,880.0,2,2,29.0,1,2.0
Super built-up  Area,Electronic City,1265.0,2,0,56.93,0,2.0
Super built-up  Area,Electronic City,1691.0,2,2,102.0,0,3.0
Super built-up  Area,Electronic City,1128.0,2,1,65.49,0,2.0
Built-up  Area,Electronic City,1620.0,3,2,62.0,1,3.0
Super built-up  Area,Electronic City,710.0,2,2,16.0,1,2.0
Super built-up  Area,Electronic City,1070.0,2,1,56.1,1,2.0
Plot  Area,Electronic City,2000.0,4,0,120.0,1,4.0
Built-up  Area,Electronic City,890.0,2,2,45.0,1,2.0
Super built-up  Area,Electronic City,1128.0,2,1,65.65,0,2.0
Built-up  Area,Electronic City,865.0,2,0,42.0,1,2.0
Built-up  Area,Electronic City,1130.0,2,1,32.64,0,2.0
Super built-up  Area,Electronic City,910.0,2,2,42.0,1,2.0
Super built-up  Area,Electronic City,975.0,2,2,37.5,1,2.0
Built-up  Area,Electronic City,1360.0,2,1,75.0,1,3.0
Super built-up  Area,Electronic City,770.0,1,1,40.0,1,2.0
Super built-up  Area,Electronic City,1128.0,2,1,64.0,1,2.0
Super built-up  Area,Electronic City,1070.0,2,1,54.0,1,2.0
Built-up  Area,Electronic City,1025.0,2,1,29.6,0,2.0
Super built-up  Area,Electronic City,1571.0,3,2,89.0,0,3.0
Super built-up  Area,Electronic City,1111.0,3,1,50.0,0,3.0
Super built-up  Area,Electronic City,870.0,2,1,39.5,1,2.0
Super built-up  Area,Electronic City,921.0,2,1,34.0,1,2.0
Super built-up  Area,Electronic City,1374.0,2,1,72.0,0,3.0
Super built-up  Area,Electronic City,1100.0,2,2,45.0,1,2.0
Super built-up  Area,Electronic City,1128.0,2,1,65.35,0,2.0
Super built-up  Area,Electronic City,755.0,1,1,34.0,1,2.0
Built-up  Area,Electronic City,1220.0,2,2,35.24,0,3.0
Plot  Area,Electronic City,4000.0,5,1,150.0,0,4.0
Super built-up  Area,Electronic City,1100.0,2,1,40.0,1,2.0
Super built-up  Area,Electronic City,1563.0,3,2,91.84,0,3.0
Super built-up  Area,Electronic City,1652.0,3,2,70.0,1,3.0
Super built-up  Area,Electronic City,1000.0,2,2,22.0,1,2.0
Super built-up  Area,Electronic City,1025.0,2,1,54.5,0,2.0
Super built-up  Area,Electronic City,1070.0,2,1,46.0,1,2.0
Super built-up  Area,Electronic City,1350.0,3,2,58.0,1,3.0
Super built-up  Area,Electronic City,1000.0,2,3,25.0,1,2.0
Built-up  Area,Electronic City,1020.0,2,1,29.46,0,2.0
Super built-up  Area,Electronic City,1700.0,3,2,75.0,1,3.0
Super built-up  Area,Electronic City,1400.0,2,1,48.0,1,3.0
Super built-up  Area,Electronic City,1128.0,2,1,68.0,1,2.0
Built-up  Area,Electronic City,700.0,1,1,35.0,1,1.0
Super built-up  Area,Electronic City,1360.0,2,1,70.5,1,3.0
Super built-up  Area,Electronic City,1150.0,2,1,38.0,0,2.0
Super built-up  Area,Electronic City,1571.0,3,2,105.0,1,3.0
Built-up  Area,Electronic City,1090.0,2,1,31.49,0,2.0
Super built-up  Area,Electronic City,1089.0,2,2,45.0,1,2.0
Super built-up  Area,Electronic City,1110.0,2,1,40.0,1,2.0
Built-up  Area,Electronic City,1600.0,3,2,104.0,0,3.0
Built-up  Area,Electronic City,1130.0,2,1,32.63,0,2.0
Built-up  Area,Electronic City,1500.0,2,1,100.0,1,3.0
Super built-up  Area,Electronic City,1440.0,2,2,55.0,1,3.0
Super built-up  Area,Electronic City,1156.0,2,2,44.0,0,3.0
Built-up  Area,Electronic City,1400.0,2,1,40.44,0,3.0
Super built-up  Area,Electronic City,1152.0,2,1,65.0,0,2.0
Super built-up  Area,Electronic City,1070.0,2,1,60.0,1,2.0
Super built-up  Area,Electronic City,1128.0,2,1,65.5,0,2.0
Super built-up  Area,Electronic City,1200.0,2,1,59.0,1,2.0
Super built-up  Area,Electronic City,1152.0,2,1,65.75,0,2.0
Super built-up  Area,Electronic City,1225.0,3,0,45.03,0,3.0
Super built-up  Area,Electronic City,1070.0,2,1,55.0,0,2.0
Super built-up  Area,Electronic City,1060.0,2,1,58.0,1,2.0
Super built-up  Area,Electronic City,1025.0,2,1,54.1,0,2.0
Super built-up  Area,Electronic City,1105.0,2,1,35.0,0,3.0
Super built-up  Area,Electronic City,660.0,1,1,18.0,1,2.0
Super built-up  Area,Electronic City,660.0,1,1,15.0,1,2.0
Super built-up  Area,Electronic City,1000.0,2,2,41.0,1,2.0
Super built-up  Area,Electronic City,1500.0,2,1,78.0,1,3.0
Super built-up  Area,Electronic City,1213.0,2,1,59.32,0,2.0
Super built-up  Area,Electronic City,1575.0,3,2,90.0,1,3.0
Built-up  Area,Electronic City,435.0,1,1,19.5,1,1.0
Built-up  Area,Electronic City,1449.0,3,2,100.0,1,3.0
Super built-up  Area,Electronic City,1310.0,2,1,37.83,0,3.0
Super built-up  Area,Electronic City,1125.0,2,1,58.0,1,2.0
Built-up  Area,Electronic City,1090.0,2,2,35.03,1,2.0
Super built-up  Area,Electronic City,1575.0,3,3,101.0,1,3.0
Super built-up  Area,Electronic City,660.0,1,1,16.0,1,2.0
Built-up  Area,Electronic City,550.0,1,1,12.0,1,1.0
Super built-up  Area,Electronic City,919.0,2,2,40.0,1,2.0
Super built-up  Area,Electronic City,1500.0,2,1,78.25,0,3.0
Super built-up  Area,Electronic City,1363.0,2,1,79.0,1,2.0
Super built-up  Area,Electronic City,1156.0,2,2,42.0,1,2.0
Super built-up  Area,Electronic City,1020.0,2,2,29.46,0,2.0
Super built-up  Area,Electronic City,1108.0,2,1,67.15,1,2.0
Built-up  Area,Electronic City,1160.0,2,1,33.5,0,2.0
Super built-up  Area,Electronic City,1128.0,2,1,65.7,0,2.0
Super built-up  Area,Electronic City,1170.0,2,1,33.0,1,2.0
Built-up  Area,Electronic City,1060.0,2,1,51.0,1,2.0
Super built-up  Area,Electronic City,1410.0,2,2,38.0,1,3.0
Built-up  Area,Electronic City,1650.0,3,2,100.0,0,3.0
Built-up  Area,Electronic City,1020.0,2,1,29.45,0,2.0
Super built-up  Area,Electronic City,1025.0,2,1,49.0,1,2.0
Super built-up  Area,Electronic City,1000.0,2,1,29.7,0,2.0
Super built-up  Area,Electronic City,1449.0,3,2,90.0,1,3.0
Built-up  Area,Electronic City,1065.0,2,1,30.75,0,2.0
Super built-up  Area,Electronic City,1070.0,2,1,58.0,1,2.0
Super built-up  Area,Electronic City,1210.0,2,1,54.0,1,2.0
Built-up  Area,Electronic City,1500.0,2,1,75.0,0,3.0
Super built-up  Area,Electronic City,1033.0,2,2,28.41,0,3.0
Super built-up  Area,Electronic City,2435.0,4,3,119.0,0,4.0
Super built-up  Area,Electronic City,660.0,1,1,15.5,1,2.0
Built-up  Area,Electronic City,1125.0,2,1,32.5,0,2.0
Built-up  Area,Electronic City,1165.0,2,1,33.64,0,2.0
Super built-up  Area,Electronic City,919.0,2,2,34.0,1,2.0
Super built-up  Area,Electronic City,1073.0,2,2,60.0,1,2.0
Super built-up  Area,Electronic City,1500.0,2,1,78.0,0,3.0
Super built-up  Area,Electronic City,1070.0,2,1,47.0,0,2.0
Super built-up  Area,Electronic City,1296.0,2,2,65.0,1,2.0
Super built-up  Area,Electronic City,1140.0,2,1,70.93,0,2.0
Built-up  Area,Electronic City,1200.0,2,1,34.65,0,2.0
Super built-up  Area,Electronic City,1096.0,2,2,40.55,1,2.0
Super built-up  Area,Electronic City,1017.0,2,2,27.0,1,2.0
Super built-up  Area,Electronic City,1110.0,2,1,39.95,1,2.0
Super built-up  Area,Electronic City,2093.0,4,1,104.0,0,4.0
Super built-up  Area,Electronic City,1025.0,2,1,53.9,1,2.0
Built-up  Area,Electronic City,940.0,2,1,54.0,1,2.0
Super built-up  Area,Electronic City,435.0,1,1,21.0,1,1.0
Super built-up  Area,Electronic City,1500.0,2,1,77.5,0,3.0
Super built-up  Area,Electronic City,1631.0,3,2,80.0,1,3.0
Super built-up  Area,Electronic City,1355.0,2,1,67.0,0,2.0
Super built-up  Area,Electronic City,1200.0,2,0,34.0,1,2.0
Super built-up  Area,Electronic City,1175.0,2,1,47.0,0,2.0
Super built-up  Area,Electronic City,435.0,1,1,22.0,1,1.0
Built-up  Area,Electronic City,1500.0,2,1,63.0,1,3.0
Super built-up  Area,Electronic City,1039.0,2,1,50.0,1,2.0
Super built-up  Area,Electronic City,770.0,1,1,39.9,1,2.0
Super built-up  Area,Electronic City,919.0,2,2,35.0,1,2.0
Super built-up  Area,Electronic City,1128.0,2,1,64.0,0,2.0
Super built-up  Area,Electronic City,605.0,1,0,13.31,0,1.0
Super built-up  Area,Electronic City,1159.0,2,3,38.0,1,3.0
Super built-up  Area,Electronic City,530.0,1,1,13.5,0,1.0
Super built-up  Area,Electronic City,1070.0,2,1,53.0,1,2.0
Super built-up  Area,Electronic City,1025.0,1,1,26.63,0,2.0
Built-up  Area,Electronic City,2400.0,2,0,78.0,1,3.0
Super built-up  Area,Electronic City,1571.0,3,2,83.0,0,3.0
Super built-up  Area,Electronic City,1470.0,2,1,44.1,1,3.0
Super built-up  Area,Electronic City,1350.0,3,2,66.0,1,3.0
Super built-up  Area,Electronic City,1652.0,3,3,110.0,1,3.0
Built-up  Area,Electronic City,1320.0,2,1,38.12,0,3.0
Built-up  Area,Electronic City,1090.0,2,1,31.48,0,2.0
Built-up  Area,Electronic City,1050.0,2,1,39.0,1,3.0
Super built-up  Area,Electronic City,1128.0,2,1,65.58,0,2.0
Built-up  Area,Electronic City,635.0,1,1,28.0,1,1.0
Super built-up  Area,Electronic City,1128.0,2,1,65.4,0,2.0
Super built-up  Area,Electronic City,1096.0,2,2,39.0,1,2.0
Super built-up  Area,Electronic City,1150.0,2,1,38.0,1,2.0
Super built-up  Area,Electronic City,1355.0,2,1,72.9,0,2.0
Super built-up  Area,Electronic City,1200.0,2,2,30.0,0,2.0
Built-up  Area,Electronic City,1150.0,2,2,35.0,1,2.0
Built-up  Area,Electronic City,770.0,1,1,35.0,1,2.0
Super built-up  Area,Electronic City,865.0,2,1,40.0,1,2.0
Built-up  Area,Electronic City,800.0,2,2,32.0,1,2.0
Super built-up  Area,Electronic City,970.0,2,2,34.0,1,2.0
Super built-up  Area,Electronic City,1108.0,2,1,63.0,1,2.0
Super built-up  Area,Electronic City,630.0,1,1,40.5,0,1.0
Super built-up  Area,Electronic City,1100.0,2,1,41.0,1,2.0
Super built-up  Area,Electronic City,975.0,2,1,32.0,1,2.0
Super built-up  Area,Electronic City,605.0,1,1,22.0,1,1.0
Built-up  Area,Electronic City,1142.0,2,0,35.0,1,2.0
Super built-up  Area,Electronic City,1070.0,2,1,48.0,1,2.0
Super built-up  Area,Electronic City,1160.0,2,2,42.0,1,3.0
Super built-up  Area,Electronic City,1360.0,2,1,70.0,1,3.0
Super built-up  Area,Electronic City,635.0,1,0,28.0,1,1.0
Super built-up  Area,Electronic City,1128.0,2,1,65.45,0,2.0
Super built-up  Area,Electronic City,890.0,2,1,40.0,1,2.0
Super built-up  Area,Electronic City,1127.0,2,2,32.0,1,2.0
Super built-up  Area,Electronic City,825.0,2,1,35.0,1,2.0
Super built-up  Area,Electronic City,1200.0,2,2,40.5,1,2.0
Super built-up  Area,Electronic City,1360.0,2,1,58.0,1,3.0
Built-up  Area,Electronic City,1400.0,2,1,40.45,0,3.0
Built-up  Area,Electronic City,1065.0,2,1,30.76,0,2.0
Super built-up  Area,Electronic City,630.0,1,1,33.7,0,1.0
Built-up  Area,Electronic City,1025.0,2,1,29.61,0,2.0
Super built-up  Area,Electronic City,660.0,1,1,16.5,1,2.0
Built-up  Area,Electronic City,1400.0,3,1,90.0,1,3.0
Built-up  Area,Electronic City,1287.0,3,1,55.0,1,3.0
Super built-up  Area,Electronic City,1258.0,2,1,85.5,1,2.0
Built-up  Area,Electronic City,1386.0,2,1,85.0,1,2.0
Built-up  Area,Electronic City,550.0,1,1,27.0,1,1.0
Super built-up  Area,Electronic City,1025.0,2,1,50.0,1,2.0
Super built-up  Area,Electronic City,1140.0,2,2,33.84,0,2.0
Super built-up  Area,Electronic City,1342.0,2,1,72.0,0,2.0
Built-up  Area,Electronic City,1275.0,3,1,70.0,1,3.0
Super built-up  Area,Electronic City,770.0,1,1,38.0,1,2.0
Super built-up  Area,Electronic City,1005.0,2,1,39.77,0,2.0
Super built-up  Area,Electronic City,1110.0,2,1,39.9,1,2.0
Super built-up  Area,Electronic City,660.0,1,1,23.0,1,2.0
Super built-up  Area,Electronic City,1644.0,3,2,92.59,0,3.0
Built-up  Area,Electronic City,1250.0,2,1,62.0,1,2.0
Super built-up  Area,Electronic City,1020.0,2,1,30.27,0,2.0
Super built-up  Area,Electronic City,418.0,1,1,12.0,1,1.0
Super built-up  Area,Electronic City,1128.0,2,1,64.8,0,2.0
Built-up  Area,Electronic City,1220.0,2,1,35.25,0,3.0
Built-up  Area,Electronic City,1220.0,2,1,35.23,0,3.0
Built-up  Area,Electronic City,1060.0,2,1,55.0,1,2.0
Super built-up  Area,Electronic City,710.0,1,1,40.42,0,1.0
Super built-up  Area,Electronic City,1000.0,2,1,29.95,0,2.0
Built-up  Area,Electronic City,870.0,2,2,24.0,1,2.0
Super built-up  Area,Electronic City,1275.0,3,3,63.43,1,3.0
Super built-up  Area,Electronic City,1518.0,3,3,75.0,1,3.0
Built-up  Area,Electronic City,1090.0,2,1,31.48,0,1.0
Built-up  Area,Electronic City,1140.0,2,1,32.92,0,2.0
Super built-up  Area,Electronic City,1060.0,2,1,55.0,1,2.0
Built-up  Area,Electronic City,1200.0,2,1,34.66,0,2.0
Super built-up  Area,Electronic City,1353.0,2,3,75.0,1,2.0
Built-up  Area,Electronic City,660.0,1,0,18.0,1,2.0
Super built-up  Area,Electronic City,1128.0,2,1,67.0,0,2.0
Built-up  Area,Electronic City,1070.0,2,1,57.0,0,2.0
Built-up  Area,Electronic City,1700.0,3,2,90.0,1,3.0
Super built-up  Area,Electronic City,1521.0,2,2,57.5,1,3.0
Super built-up  Area,Electronic City,750.0,1,1,35.0,1,1.0
Built-up  Area,Electronic City,1210.0,2,1,55.0,1,2.0
Built-up  Area,Electronic City,1070.0,2,1,60.0,0,2.0
Super built-up  Area,Electronic City,1190.0,2,1,42.0,1,2.0
Super built-up  Area,Electronic City,880.0,2,1,19.0,1,2.0
Super built-up  Area,Electronic City,1150.0,2,1,38.08,1,2.0
Super built-up  Area,Electronic City,1615.0,3,2,97.0,0,3.0
Built-up  Area,Electronic City,1165.0,2,1,33.65,0,2.0
Super built-up  Area,Electronic City,1221.0,2,2,68.0,1,2.0
Super built-up  Area,Electronic City,970.0,2,1,35.0,1,2.0
Built-up  Area,Electronic City,1500.0,3,1,73.0,1,3.0
Super built-up  Area,Electronic City,995.0,2,1,48.0,1,2.0
Super built-up  Area,Electronic City,1342.0,2,1,90.0,1,2.0
Super built-up  Area,Electronic City,1128.0,2,1,63.5,0,2.0
Super built-up  Area,Electronic City,589.0,1,1,29.0,1,1.0
Super built-up  Area,Electronic City,1125.0,2,1,28.13,0,2.0
Super built-up  Area,Electronic City,825.0,2,1,30.0,1,2.0
Super built-up  Area,Electronic City,1575.0,3,1,94.5,1,3.0
Super built-up  Area,Electronic City,1025.0,2,1,54.0,1,2.0
Super built-up  Area,Electronic City,1500.0,2,1,70.0,1,3.0
Built-up  Area,Electronic City,1140.0,2,1,32.93,0,2.0
Super built-up  Area,Electronic City,2093.0,4,2,134.0,0,4.0
Built-up  Area,Electronic City,750.0,2,1,19.5,1,2.0
Super built-up  Area,Electronic City,1355.0,2,1,73.0,0,2.0
Super built-up  Area,Electronic City,1360.0,2,1,64.99,1,3.0
Super built-up  Area,Electronic City,1060.0,2,1,52.0,1,2.0
Super built-up  Area,Electronic City Phase II,1056.0,2,1,39.07,0,2.0
Super built-up  Area,Electronic City Phase II,1020.0,2,1,30.6,0,2.0
Super built-up  Area,Electronic City Phase II,1069.0,2,2,45.0,1,2.0
Super built-up  Area,Electronic City Phase II,630.0,1,1,28.35,0,1.0
Super built-up  Area,Electronic City Phase II,1220.0,2,1,35.23,0,3.0
Super built-up  Area,Electronic City Phase II,1000.0,2,1,25.0,0,2.0
Built-up  Area,Electronic City Phase II,1090.0,2,1,28.34,0,2.0
Super built-up  Area,Electronic City Phase II,2225.0,4,0,98.88,0,4.0
Built-up  Area,Electronic City Phase II,1400.0,2,1,40.43,0,3.0
Super built-up  Area,Electronic City Phase II,775.0,2,2,38.0,1,2.0
Super built-up  Area,Electronic City Phase II,1266.0,2,2,59.0,1,2.0
Super built-up  Area,Electronic City Phase II,1000.0,2,1,28.88,0,2.0
Built-up  Area,Electronic City Phase II,1320.0,2,1,38.13,0,3.0
Built-up  Area,Electronic City Phase II,1220.0,3,1,35.23,0,3.0
Super built-up  Area,Electronic City Phase II,972.0,2,1,44.0,0,2.0
Super built-up  Area,Electronic City Phase II,1400.0,2,2,40.43,0,3.0
Super built-up  Area,Electronic City Phase II,1031.0,2,1,55.0,1,2.0
Super built-up  Area,Electronic City Phase II,1003.0,2,1,40.6,0,2.0
Super built-up  Area,Electronic City Phase II,1031.0,2,1,56.35,1,2.0
Built-up  Area,Electronic City Phase II,1320.0,2,1,38.12,0,3.0
Super built-up  Area,Electronic City Phase II,1395.0,2,1,62.78,0,3.0
Built-up  Area,Electronic City Phase II,1160.0,2,1,33.5,0,2.0
Super built-up  Area,Electronic City Phase II,1065.0,2,1,30.75,0,2.0
Super built-up  Area,Electronic City Phase II,1219.0,2,1,61.25,1,2.0
Super built-up  Area,Electronic City Phase II,1400.0,2,2,41.58,0,3.0
Built-up  Area,Electronic City Phase II,1000.0,2,1,28.88,0,2.0
Built-up  Area,Electronic City Phase II,1790.0,3,3,100.0,1,3.0
Super built-up  Area,Electronic City Phase II,769.0,2,1,40.0,1,2.0
Super built-up  Area,Electronic City Phase II,900.0,2,2,32.5,1,2.0
Super built-up  Area,Electronic City Phase II,1329.0,2,2,41.0,0,3.0
Carpet  Area,Electronic City Phase II,993.0,2,2,50.0,0,3.0
Super built-up  Area,Electronic City Phase II,1418.0,3,2,52.47,0,3.0
Built-up  Area,Electronic City Phase II,1070.0,2,2,45.0,1,2.0
Super built-up  Area,Electronic City Phase II,1310.0,2,1,32.75,0,3.0
Built-up  Area,Electronic City Phase II,1310.0,2,1,37.83,0,3.0
Built-up  Area,Electronic City Phase II,1140.0,2,1,33.06,0,2.0
Super built-up  Area,Electronic City Phase II,1089.0,2,0,32.67,0,2.0
Built-up  Area,Electronic City Phase II,1253.0,2,1,65.8,1,2.0
Super built-up  Area,Electronic City Phase II,1400.0,2,2,40.44,0,3.0
Super built-up  Area,Electronic City Phase II,1160.0,2,1,33.5,0,2.0
Super built-up  Area,Electronic City Phase II,975.0,2,2,45.0,1,3.0
Plot  Area,Electronic City Phase II,6000.0,4,0,260.0,0,4.0
Super built-up  Area,Electronic City Phase II,1116.0,2,2,37.0,1,2.0
Built-up  Area,Electronic City Phase II,1125.0,2,1,29.25,0,2.0
Built-up  Area,Electronic City Phase II,1165.0,2,1,30.29,0,2.0
Built-up  Area,Electronic City Phase II,3550.0,2,0,167.5,1,4.0
Super built-up  Area,Electronic City Phase II,1031.0,2,1,53.0,1,2.0
Super built-up  Area,Electronic City Phase II,1611.0,2,2,48.33,0,3.0
Built-up  Area,Electronic City Phase II,1065.0,2,1,30.88,0,2.0
Built-up  Area,Electronic City Phase II,1220.0,3,1,36.6,0,3.0
Super built-up  Area,Electronic City Phase II,1549.0,3,2,80.0,1,3.0
Super built-up  Area,Electronic City Phase II,1065.0,2,1,56.13,1,2.0
Super built-up  Area,Electronic City Phase II,920.0,2,2,26.0,1,2.0
Super built-up  Area,Electronic City Phase II,1140.0,2,1,33.84,0,2.0
Super built-up  Area,Electronic City Phase II,1219.0,2,1,61.26,1,2.0
Built-up  Area,Electronic City Phase II,1252.0,2,3,65.0,0,3.0
Built-up  Area,Electronic City Phase II,1125.0,2,1,32.49,0,2.0
Super built-up  Area,Electronic City Phase II,1310.0,2,2,37.83,0,3.0
Super built-up  Area,Electronic City Phase II,1286.0,2,2,69.0,1,2.0
Super built-up  Area,Electronic City Phase II,1220.0,2,1,36.21,0,3.0
Super built-up  Area,Electronic City Phase II,1140.0,2,1,32.92,0,2.0
Super built-up  Area,Electronic City Phase II,1116.0,2,2,40.0,0,2.0
Built-up  Area,Electronic City Phase II,1150.0,3,3,46.0,1,3.0
Super built-up  Area,Electronic City Phase II,1192.0,2,3,47.0,1,3.0
Super built-up  Area,Electronic City Phase II,1502.0,3,3,50.0,1,3.0
Super built-up  Area,Electronic City Phase II,1020.0,2,2,32.0,1,2.0
Built-up  Area,Electronic City Phase II,1900.0,3,1,97.0,1,4.0
Super built-up  Area,Electronic City Phase II,1020.0,2,1,27.43,0,2.0
Built-up  Area,Electronic City Phase II,1025.0,2,1,26.65,0,2.0
Built-up  Area,Electronic City Phase II,1020.0,2,1,29.45,0,2.0
Built-up  Area,Electronic City Phase II,1310.0,2,1,37.84,0,3.0
Super built-up  Area,Electronic City Phase II,1140.0,2,2,28.5,0,2.0
Super built-up  Area,Electronic City Phase II,1125.0,2,1,32.49,0,2.0
Super built-up  Area,Electronic City Phase II,1200.0,2,1,34.65,0,2.0
Super built-up  Area,Electronic City Phase II,1160.0,2,1,52.2,0,2.0
Super built-up  Area,Electronic City Phase II,1244.0,2,1,55.0,0,2.0
Built-up  Area,Electronic City Phase II,1160.0,2,1,33.51,0,2.0
Built-up  Area,Electronic City Phase II,1220.0,3,1,35.25,0,3.0
Super built-up  Area,Electronic City Phase II,1625.0,2,2,48.75,0,3.0
Super built-up  Area,Electronic City Phase II,972.0,2,1,40.0,0,2.0
Super built-up  Area,Electronic City Phase II,1400.0,2,2,40.45,0,3.0
Built-up  Area,Electronic City Phase II,1090.0,2,1,31.48,0,2.0
Built-up  Area,Electronic City Phase II,1140.0,2,1,32.92,0,2.0
Super built-up  Area,Electronic City Phase II,650.0,1,1,35.0,1,1.0
Built-up  Area,Electronic City Phase II,1155.0,2,1,57.0,1,2.0
Super built-up  Area,Electronic City Phase II,1800.0,3,3,92.0,1,3.0
Built-up  Area,Electronic City Phase II,1300.0,2,2,28.0,1,2.0
Built-up  Area,Electronic City Phase II,1940.0,4,3,116.0,0,3.0
Built-up  Area,Electronic City Phase II,1025.0,2,1,29.6,0,2.0
Super built-up  Area,Electronic City Phase II,829.0,2,1,22.8,0,2.0
Super built-up  Area,Electronic City Phase II,2187.5,4,0,105.0,0,4.0
Super built-up  Area,Electronic City Phase II,1252.0,2,1,67.0,1,2.0
Super built-up  Area,Electronic City Phase II,1320.0,2,1,38.12,0,3.0
Built-up  Area,Electronic City Phase II,1125.0,2,1,32.63,0,2.0
Super built-up  Area,Electronic City Phase II,1140.0,2,1,34.0,0,2.0
Super built-up  Area,Electronic City Phase II,1310.0,2,1,37.84,0,3.0
Built-up  Area,Electronic City Phase II,1400.0,2,2,40.43,0,3.0
Super built-up  Area,Electronic City Phase II,1252.0,2,1,65.0,1,3.0
Super built-up  Area,Electronic City Phase II,1135.0,2,2,46.0,1,2.0
Super built-up  Area,Electronic City Phase II,1305.0,3,1,65.0,1,3.0
Built-up  Area,Electronic City Phase II,1165.0,2,1,33.64,0,2.0
Built-up  Area,Electronic City Phase II,1400.0,2,2,40.44,0,3.0
Super built-up  Area,Electronic City Phase II,1336.0,2,3,50.35,0,3.0
Built-up  Area,Electronic City Phase II,575.0,1,1,16.75,1,1.0
Super built-up  Area,Electronic City Phase II,925.0,2,1,49.82,1,3.0
Built-up  Area,Electronic City Phase II,1065.0,2,1,30.76,0,2.0
Built-up  Area,Electronic City Phase II,1065.0,2,1,30.75,0,2.0
Super built-up  Area,Electronic City Phase II,911.0,2,1,26.5,1,2.0
Built-up  Area,Electronic City Phase II,1200.0,2,1,34.65,0,2.0
Super built-up  Area,Electronic City Phase II,1031.0,2,1,54.48,1,2.0
Super built-up  Area,Electronic City Phase II,1310.0,2,1,37.83,0,3.0
Super built-up  Area,Electronic City Phase II,1651.0,3,1,49.53,0,3.0
Super built-up  Area,Electronics City Phase 1,1070.0,2,1,45.5,1,2.0
Super built-up  Area,Electronics City Phase 1,1475.0,3,2,78.29,1,3.0
Built-up  Area,Electronics City Phase 1,1490.0,3,1,78.8,1,3.0
Super built-up  Area,Electronics City Phase 1,1113.27,2,2,53.0,1,2.0
Super built-up  Area,Electronics City Phase 1,1490.0,3,1,84.0,1,3.0
Super built-up  Area,Electronics City Phase 1,1175.0,2,2,51.47,1,2.0
Super built-up  Area,Electronics City Phase 1,1160.0,2,1,52.0,0,2.0
Built-up  Area,Electronics City Phase 1,920.0,2,2,33.0,1,2.0
Super built-up  Area,Electronics City Phase 1,1750.0,3,2,84.0,1,3.0
Super built-up  Area,Electronics City Phase 1,1350.0,3,1,55.0,1,3.0
Built-up  Area,Electronics City Phase 1,940.0,2,1,40.0,1,2.0
Built-up  Area,Electronics City Phase 1,1015.0,2,1,56.0,1,2.0
Super built-up  Area,Electronics City Phase 1,1595.0,3,2,75.0,0,3.0
Super built-up  Area,Electronics City Phase 1,1515.0,2,1,80.91,1,3.0
Built-up  Area,Electronics City Phase 1,995.0,2,0,46.0,1,2.0
Super built-up  Area,Electronics City Phase 1,1555.0,2,1,82.0,1,3.0
Built-up  Area,Electronics City Phase 1,1340.0,2,2,75.0,0,2.0
Super built-up  Area,Electronics City Phase 1,650.0,1,1,23.0,1,1.0
Super built-up  Area,Electronics City Phase 1,1124.0,2,2,55.0,1,3.0
Super built-up  Area,Electronics City Phase 1,1175.0,2,1,57.0,0,2.0
Super built-up  Area,Electronics City Phase 1,755.0,1,1,42.41,0,1.0
Built-up  Area,Electronics City Phase 1,580.0,1,1,27.0,1,1.0
Built-up  Area,Electronics City Phase 1,940.0,2,2,49.0,1,2.0
Super built-up  Area,Electronics City Phase 1,1335.0,2,2,67.0,0,2.0
Super built-up  Area,Electronics City Phase 1,1175.0,2,1,69.0,0,2.0
Super built-up  Area,Electronics City Phase 1,1113.12,2,2,55.0,1,2.0
Built-up  Area,Electronics City Phase 1,995.0,2,0,42.0,1,2.0
